snapshot_date,warehouse_id,product_id,on_hand_qty,allocated_qty
2025-09-07,WH01,SKU0001,151,19
2025-09-07,WH01,SKU0002,1877,101
2025-09-07,WH01,SKU0003,775,33
2025-09-07,WH01,SKU0004,56,3
2025-09-07,WH01,SKU0005,15,2
2025-09-07,WH01,SKU0006,614,36
2025-09-07,WH01,SKU0007,235,12
2025-09-07,WH01,SKU0008,841,43
2025-09-07,WH01,SKU0009,97,7
2025-09-07,WH01,SKU0010,286,15
2025-09-07,WH01,SKU0011,420,27
2025-09-07,WH01,SKU0012,103,14
2025-09-07,WH01,SKU0013,117,12
2025-09-07,WH01,SKU0014,439,21
2025-09-07,WH01,SKU0015,535,32
2025-09-07,WH01,SKU0016,283,24
2025-09-07,WH01,SKU0017,279,46
2025-09-07,WH01,SKU0018,252,13
2025-09-07,WH01,SKU0019,93,10
2025-09-07,WH01,SKU0020,711,83
2025-09-07,WH01,SKU0021,106,9
2025-09-07,WH01,SKU0022,91,10
2025-09-07,WH01,SKU0023,400,7
2025-09-07,WH01,SKU0024,198,12
2025-09-07,WH01,SKU0025,374,18
2025-09-07,WH01,SKU0026,69,13
2025-09-07,WH01,SKU0027,359,11
2025-09-07,WH01,SKU0028,211,12
2025-09-07,WH01,SKU0029,11,0
2025-09-07,WH01,SKU0030,1129,76
2025-09-07,WH01,SKU0031,179,12
2025-09-07,WH01,SKU0032,1019,20
2025-09-07,WH01,SKU0033,142,4
2025-09-07,WH01,SKU0034,189,12
2025-09-07,WH01,SKU0035,232,11
2025-09-07,WH01,SKU0036,701,48
2025-09-07,WH01,SKU0037,110,13
2025-09-07,WH01,SKU0038,562,35
2025-09-07,WH01,SKU0039,57,11
2025-09-07,WH01,SKU0040,393,8
2025-09-07,WH01,SKU0041,419,21
2025-09-07,WH01,SKU0042,613,55
2025-09-07,WH01,SKU0043,84,0
2025-09-07,WH01,SKU0044,94,15
2025-09-07,WH01,SKU0045,20,2
2025-09-07,WH01,SKU0046,105,4
2025-09-07,WH01,SKU0047,68,6
2025-09-07,WH01,SKU0048,27,6
2025-09-07,WH01,SKU0049,69,7
2025-09-07,WH01,SKU0050,104,1
2025-09-07,WH01,SKU0051,107,8
2025-09-07,WH01,SKU0052,905,49
2025-09-07,WH01,SKU0053,389,22
2025-09-07,WH01,SKU0054,271,18
2025-09-07,WH01,SKU0055,130,6
2025-09-07,WH01,SKU0056,28,5
2025-09-07,WH01,SKU0057,23,6
2025-09-07,WH01,SKU0058,253,18
2025-09-07,WH01,SKU0059,536,31
2025-09-07,WH01,SKU0060,842,40
2025-09-07,WH01,SKU0061,307,28
2025-09-07,WH01,SKU0062,141,15
2025-09-07,WH01,SKU0063,211,16
2025-09-07,WH01,SKU0064,366,16
2025-09-07,WH01,SKU0065,128,13
2025-09-07,WH01,SKU0066,1646,97
2025-09-07,WH01,SKU0067,73,2
2025-09-07,WH01,SKU0068,207,7
2025-09-07,WH01,SKU0069,1259,44
2025-09-07,WH01,SKU0070,32,3
2025-09-07,WH01,SKU0071,212,9
2025-09-07,WH01,SKU0072,53,13
2025-09-07,WH01,SKU0073,93,12
2025-09-07,WH01,SKU0074,32,1
2025-09-07,WH01,SKU0075,339,25
2025-09-07,WH01,SKU0076,441,27
2025-09-07,WH01,SKU0077,369,30
2025-09-07,WH01,SKU0078,20,9
2025-09-07,WH01,SKU0079,412,22
2025-09-07,WH01,SKU0080,56,7
2025-09-07,WH01,SKU0081,52,14
2025-09-07,WH01,SKU0082,1608,124
2025-09-07,WH01,SKU0083,311,21
2025-09-07,WH01,SKU0084,64,5
2025-09-07,WH01,SKU0085,305,22
2025-09-07,WH01,SKU0086,147,3
2025-09-07,WH01,SKU0087,100,7
2025-09-07,WH01,SKU0088,126,2
2025-09-07,WH01,SKU0089,182,16
2025-09-07,WH01,SKU0090,557,41
2025-09-07,WH01,SKU0091,129,27
2025-09-07,WH01,SKU0092,553,24
2025-09-07,WH01,SKU0093,81,3
2025-09-07,WH01,SKU0094,242,7
2025-09-07,WH01,SKU0095,373,21
2025-09-07,WH01,SKU0096,355,6
2025-09-07,WH01,SKU0097,84,11
2025-09-07,WH01,SKU0098,157,20
2025-09-07,WH01,SKU0099,322,8
2025-09-07,WH01,SKU0100,221,24
2025-09-07,WH01,SKU0101,744,58
2025-09-07,WH01,SKU0102,158,11
2025-09-07,WH01,SKU0103,299,41
2025-09-07,WH01,SKU0104,520,23
2025-09-07,WH01,SKU0105,38,6
2025-09-07,WH01,SKU0106,60,9
2025-09-07,WH01,SKU0107,56,9
2025-09-07,WH01,SKU0108,90,4
2025-09-07,WH01,SKU0109,173,23
2025-09-07,WH01,SKU0110,386,25
2025-09-07,WH01,SKU0111,393,40
2025-09-07,WH01,SKU0112,342,17
2025-09-07,WH01,SKU0113,131,13
2025-09-07,WH01,SKU0114,30,2
2025-09-07,WH01,SKU0115,143,19
2025-09-07,WH01,SKU0116,213,14
2025-09-07,WH01,SKU0117,228,27
2025-09-07,WH01,SKU0118,1514,110
2025-09-07,WH01,SKU0119,757,41
2025-09-07,WH01,SKU0120,639,33
2025-09-07,WH01,SKU0121,125,5
2025-09-07,WH01,SKU0122,85,15
2025-09-07,WH01,SKU0123,167,21
2025-09-07,WH01,SKU0124,74,9
2025-09-07,WH01,SKU0125,350,33
2025-09-07,WH01,SKU0126,89,31
2025-09-07,WH01,SKU0127,121,2
2025-09-07,WH01,SKU0128,1508,39
2025-09-07,WH01,SKU0129,233,20
2025-09-07,WH01,SKU0130,34,4
2025-09-07,WH01,SKU0131,94,19
2025-09-07,WH01,SKU0132,264,16
2025-09-07,WH01,SKU0133,993,43
2025-09-07,WH01,SKU0134,178,6
2025-09-07,WH01,SKU0135,411,43
2025-09-07,WH01,SKU0136,452,18
2025-09-07,WH01,SKU0137,89,2
2025-09-07,WH01,SKU0138,25,5
2025-09-07,WH01,SKU0139,662,39
2025-09-07,WH01,SKU0140,360,51
2025-09-07,WH01,SKU0141,442,25
2025-09-07,WH01,SKU0142,948,78
2025-09-07,WH01,SKU0143,299,48
2025-09-07,WH01,SKU0144,157,26
2025-09-07,WH01,SKU0145,222,9
2025-09-07,WH01,SKU0146,1594,74
2025-09-07,WH01,SKU0147,116,31
2025-09-07,WH01,SKU0148,86,10
2025-09-07,WH01,SKU0149,79,8
2025-09-07,WH01,SKU0150,552,21
2025-09-07,WH01,SKU0151,88,1
2025-09-07,WH01,SKU0152,221,37
2025-09-07,WH01,SKU0153,95,3
2025-09-07,WH01,SKU0154,599,24
2025-09-07,WH01,SKU0155,336,10
2025-09-07,WH01,SKU0156,192,11
2025-09-07,WH01,SKU0157,102,8
2025-09-07,WH01,SKU0158,168,10
2025-09-07,WH01,SKU0159,1208,87
2025-09-07,WH01,SKU0160,769,60
2025-09-07,WH01,SKU0161,473,16
2025-09-07,WH01,SKU0162,121,10
2025-09-07,WH01,SKU0163,518,44
2025-09-07,WH01,SKU0164,359,34
2025-09-07,WH01,SKU0165,114,10
2025-09-07,WH01,SKU0166,207,20
2025-09-07,WH01,SKU0167,127,1
2025-09-07,WH01,SKU0168,656,43
2025-09-07,WH01,SKU0169,1275,123
2025-09-07,WH01,SKU0170,317,10
2025-09-07,WH01,SKU0171,66,3
2025-09-07,WH01,SKU0172,221,33
2025-09-07,WH01,SKU0173,191,6
2025-09-07,WH01,SKU0174,167,8
2025-09-07,WH01,SKU0175,490,21
2025-09-07,WH01,SKU0176,188,19
2025-09-07,WH01,SKU0177,245,12
2025-09-07,WH01,SKU0178,96,8
2025-09-07,WH01,SKU0179,364,17
2025-09-07,WH01,SKU0180,122,9
2025-09-07,WH01,SKU0181,51,6
2025-09-07,WH01,SKU0182,115,6
2025-09-07,WH01,SKU0183,462,21
2025-09-07,WH01,SKU0184,317,11
2025-09-07,WH01,SKU0185,50,5
2025-09-07,WH01,SKU0186,505,38
2025-09-07,WH01,SKU0187,15,1
2025-09-07,WH01,SKU0188,239,9
2025-09-07,WH01,SKU0189,121,12
2025-09-07,WH01,SKU0190,173,21
2025-09-07,WH01,SKU0191,442,32
2025-09-07,WH01,SKU0192,796,32
2025-09-07,WH01,SKU0193,49,5
2025-09-07,WH01,SKU0194,425,24
2025-09-07,WH01,SKU0195,39,21
2025-09-07,WH01,SKU0196,34,6
2025-09-07,WH01,SKU0197,2262,95
2025-09-07,WH01,SKU0198,169,3
2025-09-07,WH01,SKU0199,511,21
2025-09-07,WH01,SKU0200,306,28
2025-09-07,WH01,SKU0201,318,13
2025-09-07,WH01,SKU0202,69,15
2025-09-07,WH01,SKU0203,264,43
2025-09-07,WH01,SKU0204,52,1
2025-09-07,WH01,SKU0205,334,9
2025-09-07,WH01,SKU0206,123,7
2025-09-07,WH01,SKU0207,101,14
2025-09-07,WH01,SKU0208,873,21
2025-09-07,WH01,SKU0209,558,36
2025-09-07,WH01,SKU0210,207,14
2025-09-07,WH01,SKU0211,542,26
2025-09-07,WH01,SKU0212,179,17
2025-09-07,WH01,SKU0213,180,6
2025-09-07,WH01,SKU0214,127,14
2025-09-07,WH01,SKU0215,200,8
2025-09-07,WH01,SKU0216,316,8
2025-09-07,WH01,SKU0217,490,24
2025-09-07,WH01,SKU0218,300,24
2025-09-07,WH01,SKU0219,90,3
2025-09-07,WH01,SKU0220,41,3
2025-09-07,WH01,SKU0221,518,20
2025-09-07,WH01,SKU0222,71,1
2025-09-07,WH01,SKU0223,199,10
2025-09-07,WH01,SKU0224,451,41
2025-09-07,WH01,SKU0225,84,7
2025-09-07,WH01,SKU0226,41,8
2025-09-07,WH01,SKU0227,859,62
2025-09-07,WH01,SKU0228,358,20
2025-09-07,WH01,SKU0229,80,19
2025-09-07,WH01,SKU0230,79,10
2025-09-07,WH01,SKU0231,110,9
2025-09-07,WH01,SKU0232,71,4
2025-09-07,WH01,SKU0233,1291,36
2025-09-07,WH01,SKU0234,190,5
2025-09-07,WH01,SKU0235,455,45
2025-09-07,WH01,SKU0236,215,9
2025-09-07,WH01,SKU0237,184,8
2025-09-07,WH01,SKU0238,288,12
2025-09-07,WH01,SKU0239,25,2
2025-09-07,WH01,SKU0240,386,17
2025-09-07,WH01,SKU0241,185,18
2025-09-07,WH01,SKU0242,321,32
2025-09-07,WH01,SKU0243,38,3
2025-09-07,WH01,SKU0244,255,40
2025-09-07,WH01,SKU0245,281,37
2025-09-07,WH01,SKU0246,800,40
2025-09-07,WH01,SKU0247,581,13
2025-09-07,WH01,SKU0248,333,40
2025-09-07,WH01,SKU0249,35,4
2025-09-07,WH01,SKU0250,198,24
2025-09-07,WH01,SKU0251,239,7
2025-09-07,WH01,SKU0252,59,2
2025-09-07,WH01,SKU0253,83,7
2025-09-07,WH01,SKU0254,81,20
2025-09-07,WH01,SKU0255,338,2
2025-09-07,WH01,SKU0256,702,24
2025-09-07,WH01,SKU0257,40,1
2025-09-07,WH01,SKU0258,24,6
2025-09-07,WH01,SKU0259,837,58
2025-09-07,WH01,SKU0260,544,35
2025-09-07,WH01,SKU0261,83,6
2025-09-07,WH01,SKU0262,378,13
2025-09-07,WH01,SKU0263,287,38
2025-09-07,WH01,SKU0264,324,21
2025-09-07,WH01,SKU0265,225,21
2025-09-07,WH01,SKU0266,965,65
2025-09-07,WH01,SKU0267,71,6
2025-09-07,WH01,SKU0268,138,16
2025-09-07,WH01,SKU0269,149,18
2025-09-07,WH01,SKU0270,51,17
2025-09-07,WH01,SKU0271,196,10
2025-09-07,WH01,SKU0272,290,16
2025-09-07,WH01,SKU0273,65,15
2025-09-07,WH01,SKU0274,98,7
2025-09-07,WH01,SKU0275,880,21
2025-09-07,WH01,SKU0276,97,8
2025-09-07,WH01,SKU0277,238,14
2025-09-07,WH01,SKU0278,241,13
2025-09-07,WH01,SKU0279,153,15
2025-09-07,WH01,SKU0280,23,1
2025-09-07,WH01,SKU0281,706,28
2025-09-07,WH01,SKU0282,44,5
2025-09-07,WH01,SKU0283,312,35
2025-09-07,WH01,SKU0284,124,6
2025-09-07,WH01,SKU0285,236,13
2025-09-07,WH01,SKU0286,873,89
2025-09-07,WH01,SKU0287,679,15
2025-09-07,WH01,SKU0288,595,58
2025-09-07,WH01,SKU0289,367,14
2025-09-07,WH01,SKU0290,569,36
2025-09-07,WH01,SKU0291,279,18
2025-09-07,WH01,SKU0292,340,28
2025-09-07,WH01,SKU0293,326,5
2025-09-07,WH01,SKU0294,86,5
2025-09-07,WH01,SKU0295,84,7
2025-09-07,WH01,SKU0296,278,18
2025-09-07,WH01,SKU0297,168,9
2025-09-07,WH01,SKU0298,577,33
