product_id,product_name,category,unit_cost_gbp,case_size,active_flag,primary_supplier_id
SKU0001,Household Product 0001,Household,4.56,6,Y,SUP034
SKU0002,Frozen Product 0002,Frozen,13.47,10,Y,SUP056
SKU0003,Household Product 0003,Household,7.56,10,Y,SUP029
SKU0004,Beverages Product 0004,Beverages,6.15,12,Y,SUP023
SKU0005,Ambient Food Product 0005,Ambient Food,6.9,8,Y,SUP023
SKU0006,Personal Care Product 0006,Personal Care,8.54,1,Y,SUP053
SKU0007,Household Product 0007,Household,11.03,12,Y,SUP046
SKU0008,Household Product 0008,Household,3.86,8,Y,SUP010
SKU0009,Ambient Food Product 0009,Ambient Food,3.75,12,Y,SUP030
SKU0010,Frozen Product 0010,Frozen,15.15,6,Y,SUP023
SKU0011,Chilled Product 0011,Chilled,5.65,1,Y,SUP039
SKU0012,Personal Care Product 0012,Personal Care,2.94,6,Y,UNKNOWN
SKU0013,Beverages Product 0013,Beverages,9.86,10,Y,SUP043
SKU0014,Household Product 0014,Household,9.99,10,Y,SUP045
SKU0015,Frozen Product 0015,Frozen,2.73,24,Y,SUP014
SKU0016,Ambient Food Product 0016,Ambient Food,8.58,8,Y,SUP010
SKU0017,Beverages Product 0017,Beverages,11.92,12,Y,SUP038
SKU0018,Ambient Food Product 0018,Ambient Food,9.42,12,Y,SUP016
SKU0019,Household Product 0019,Household,11.14,1,Y,SUP057
SKU0020,Beverages Product 0020,Beverages,2.97,12,Y,SUP047
SKU0021,Household Product 0021,Household,9.16,8,Y,SUP058
SKU0022,Chilled Product 0022,Chilled,6.07,10,Y,SUP033
SKU0023,Personal Care Product 0023,Personal Care,5.4,6,N,SUP057
SKU0024,Personal Care Product 0024,Personal Care,13.01,12,Y,SUP001
SKU0025,Household Product 0025,Household,19.33,24,Y,SUP018
SKU0026,Ambient Food Product 0026,Ambient Food,23.72,1,Y,SUP001
SKU0027,Frozen Product 0027,Frozen,17.37,12,Y,UNKNOWN
SKU0028,Ambient Food Product 0028,Ambient Food,6.88,12,Y,SUP031
SKU0029,Ambient Food Product 0029,Ambient Food,9.29,8,Y,SUP018
SKU0030,Beverages Product 0030,Beverages,12.16,12,Y,SUP019
SKU0031,Household Product 0031,Household,7.99,12,Y,SUP039
SKU0032,Personal Care Product 0032,Personal Care,8.04,24,Y,SUP011
SKU0033,Chilled Product 0033,Chilled,12.62,24,Y,SUP031
SKU0034,Chilled Product 0034,Chilled,7.11,1,N,SUP037
SKU0035,Frozen Product 0035,Frozen,4.6,10,Y,SUP015
SKU0036,Ambient Food Product 0036,Ambient Food,5.64,12,Y,SUP014
SKU0037,Ambient Food Product 0037,Ambient Food,11.16,6,Y,SUP022
SKU0038,Frozen Product 0038,Frozen,7.4,8,Y,SUP036
SKU0039,Ambient Food Product 0039,Ambient Food,9.22,24,Y,SUP016
SKU0040,Beverages Product 0040,Beverages,11.42,1,Y,SUP023
SKU0041,Frozen Product 0041,Frozen,5.79,10,Y,SUP033
SKU0042,Household Product 0042,Household,12.08,24,Y,SUP012
SKU0043,Beverages Product 0043,Beverages,9.45,8,Y,SUP035
SKU0044,Chilled Product 0044,Chilled,3.31,10,Y,SUP009
SKU0045,Household Product 0045,Household,18.87,24,Y,SUP009
SKU0046,Household Product 0046,Household,5.34,10,Y,SUP015
SKU0047,Chilled Product 0047,Chilled,2.52,6,Y,SUP018
SKU0048,Chilled Product 0048,Chilled,3.75,1,Y,SUP002
SKU0049,Beverages Product 0049,Beverages,3.81,24,Y,SUP058
SKU0050,Ambient Food Product 0050,Ambient Food,7.64,8,Y,SUP019
SKU0051,Ambient Food Product 0051,Ambient Food,6.18,12,Y,SUP049
SKU0052,Ambient Food Product 0052,Ambient Food,5.94,6,Y,SUP055
SKU0053,Household Product 0053,Household,11.05,10,Y,SUP049
SKU0054,Beverages Product 0054,Beverages,9.22,24,Y,SUP050
SKU0055,Beverages Product 0055,Beverages,9.07,12,Y,SUP007
SKU0056,Household Product 0056,Household,9.64,24,Y,SUP023
SKU0057,Frozen Product 0057,Frozen,11.03,6,Y,SUP045
SKU0058,Beverages Product 0058,Beverages,1.88,12,Y,SUP035
SKU0059,Ambient Food Product 0059,Ambient Food,5.83,24,Y,SUP001
SKU0060,Ambient Food Product 0060,Ambient Food,1.79,10,Y,SUP035
SKU0061,Beverages Product 0061,Beverages,7.56,8,Y,SUP049
SKU0062,Frozen Product 0062,Frozen,7.37,24,Y,SUP050
SKU0063,Beverages Product 0063,Beverages,14.58,10,Y,SUP024
SKU0064,Household Product 0064,Household,15.99,12,Y,SUP015
SKU0065,Beverages Product 0065,Beverages,8.43,24,Y,SUP019
SKU0066,Beverages Product 0066,Beverages,5.34,6,Y,SUP018
SKU0067,Beverages Product 0067,Beverages,10.13,8,Y,SUP021
SKU0068,Chilled Product 0068,Chilled,5.24,1,Y,SUP019
SKU0069,Ambient Food Product 0069,Ambient Food,7.38,10,Y,SUP028
SKU0070,Frozen Product 0070,Frozen,14.03,6,Y,SUP003
SKU0071,Ambient Food Product 0071,Ambient Food,5.14,12,Y,SUP017
SKU0072,Chilled Product 0072,Chilled,12.47,6,Y,SUP019
SKU0073,Household Product 0073,Household,11.48,12,Y,SUP010
SKU0074,Ambient Food Product 0074,Ambient Food,3.97,8,Y,SUP053
SKU0075,Ambient Food Product 0075,Ambient Food,13.92,8,Y,SUP041
SKU0076,Chilled Product 0076,Chilled,11.64,8,Y,SUP055
SKU0077,Chilled Product 0077,Chilled,7.9,12,Y,SUP034
SKU0078,Beverages Product 0078,Beverages,4.5,10,Y,SUP007
SKU0079,Beverages Product 0079,Beverages,4.23,8,Y,SUP055
SKU0080,Household Product 0080,Household,5.21,24,Y,SUP028
SKU0081,Beverages Product 0081,Beverages,10.51,12,Y,SUP042
SKU0082,Chilled Product 0082,Chilled,3.97,6,Y,SUP023
SKU0083,Household Product 0083,Household,9.82,24,Y,SUP030
SKU0084,Ambient Food Product 0084,Ambient Food,3.3,8,Y,SUP030
SKU0085,Ambient Food Product 0085,Ambient Food,6.47,1,Y,SUP018
SKU0086,Ambient Food Product 0086,Ambient Food,7.93,12,Y,SUP034
SKU0087,Household Product 0087,Household,36.21,6,Y,SUP045
SKU0088,Frozen Product 0088,Frozen,3.02,6,Y,SUP002
SKU0089,Ambient Food Product 0089,Ambient Food,19.24,12,Y,SUP008
SKU0090,Frozen Product 0090,Frozen,8.14,6,Y,SUP051
SKU0091,Ambient Food Product 0091,Ambient Food,9.65,24,Y,SUP035
SKU0092,Beverages Product 0092,Beverages,7.98,24,Y,SUP059
SKU0093,Frozen Product 0093,Frozen,9.87,12,Y,SUP037
SKU0094,Chilled Product 0094,Chilled,6.69,12,Y,SUP040
SKU0095,Chilled Product 0095,Chilled,19.01,12,Y,SUP054
SKU0096,Beverages Product 0096,Beverages,5.49,24,Y,SUP040
SKU0097,Chilled Product 0097,Chilled,15.42,8,Y,SUP020
SKU0098,Ambient Food Product 0098,Ambient Food,4.86,6,Y,SUP032
SKU0099,Ambient Food Product 0099,Ambient Food,7.11,12,Y,SUP015
SKU0100,Personal Care Product 0100,Personal Care,3.68,12,Y,SUP021
SKU0101,Personal Care Product 0101,Personal Care,9.93,6,Y,SUP041
SKU0102,Beverages Product 0102,Beverages,18.9,12,Y,SUP009
SKU0103,Chilled Product 0103,Chilled,7.03,1,Y,SUP041
SKU0104,Personal Care Product 0104,Personal Care,6.5,24,Y,SUP036
SKU0105,Household Product 0105,Household,3.58,8,Y,SUP019
SKU0106,Household Product 0106,Household,6.37,1,Y,SUP003
SKU0107,Frozen Product 0107,Frozen,2.62,6,Y,SUP043
SKU0108,Chilled Product 0108,Chilled,4.08,6,Y,SUP050
SKU0109,Ambient Food Product 0109,Ambient Food,8.56,8,Y,SUP044
SKU0110,Personal Care Product 0110,Personal Care,17.42,1,Y,SUP026
SKU0111,Frozen Product 0111,Frozen,45.88,8,Y,SUP040
SKU0112,Ambient Food Product 0112,Ambient Food,5.05,6,Y,SUP025
SKU0113,Chilled Product 0113,Chilled,18.78,8,Y,SUP022
SKU0114,Beverages Product 0114,Beverages,8.66,10,Y,SUP020
SKU0115,Ambient Food Product 0115,Ambient Food,6.7,8,Y,SUP013
SKU0116,Household Product 0116,Household,9.79,8,Y,SUP059
SKU0117,Household Product 0117,Household,7.69,6,Y,SUP040
SKU0118,Household Product 0118,Household,7.94,1,Y,SUP011
SKU0119,Frozen Product 0119,Frozen,5.67,6,Y,SUP052
SKU0120,Beverages Product 0120,Beverages,2.98,12,Y,SUP010
SKU0121,Beverages Product 0121,Beverages,2.71,24,Y,SUP036
SKU0122,Beverages Product 0122,Beverages,11.3,24,Y,SUP010
SKU0123,Ambient Food Product 0123,Ambient Food,6.17,12,Y,SUP022
SKU0124,Frozen Product 0124,Frozen,5.02,12,Y,SUP040
SKU0125,Ambient Food Product 0125,Ambient Food,7.43,8,Y,SUP060
SKU0126,Frozen Product 0126,Frozen,12.39,12,Y,SUP060
SKU0127,Chilled Product 0127,Chilled,8.31,12,Y,SUP054
SKU0128,Ambient Food Product 0128,Ambient Food,4.82,24,Y,SUP015
SKU0129,Ambient Food Product 0129,Ambient Food,16.4,24,Y,SUP006
SKU0130,Beverages Product 0130,Beverages,20.62,10,Y,SUP055
SKU0131,Ambient Food Product 0131,Ambient Food,10.19,12,N,SUP056
SKU0132,Personal Care Product 0132,Personal Care,13.91,24,Y,SUP017
SKU0133,Beverages Product 0133,Beverages,16.56,8,Y,SUP002
SKU0134,Chilled Product 0134,Chilled,15.4,24,Y,SUP039
SKU0135,Beverages Product 0135,Beverages,11.01,6,Y,SUP005
SKU0136,Ambient Food Product 0136,Ambient Food,10.9,24,Y,SUP003
SKU0137,Personal Care Product 0137,Personal Care,10.36,12,Y,SUP057
SKU0138,Frozen Product 0138,Frozen,3.62,6,Y,SUP030
SKU0139,Household Product 0139,Household,11.65,12,Y,SUP007
