product_id,warehouse_id,safety_stock_days,reorder_point_units,target_stock_units
SKU0001,WH01,5,104,219
SKU0002,WH01,10,918,1590
SKU0003,WH01,10,260,451
SKU0004,WH01,10,33,57
SKU0005,WH01,3,6,12
SKU0006,WH01,14,378,597
SKU0007,WH01,5,95,198
SKU0008,WH01,7,345,661
SKU0009,WH01,5,47,98
SKU0010,WH01,5,141,296
SKU0011,WH01,7,265,507
SKU0012,WH01,5,69,145
SKU0013,WH01,7,85,162
SKU0014,WH01,10,158,274
SKU0015,WH01,10,252,436
SKU0016,WH01,10,153,264
SKU0017,WH01,7,297,569
SKU0018,WH01,5,68,143
SKU0019,WH01,10,47,81
SKU0020,WH01,3,488,1158
SKU0021,WH01,5,60,126
SKU0022,WH01,3,50,118
SKU0023,WH01,10,146,252
SKU0024,WH01,7,132,252
SKU0025,WH01,10,109,189
SKU0026,WH01,7,122,233
SKU0027,WH01,7,120,229
SKU0028,WH01,7,145,277
SKU0029,WH01,3,10,24
SKU0030,WH01,7,671,1286
SKU0031,WH01,7,109,208
SKU0032,WH01,7,209,399
SKU0033,WH01,3,24,57
SKU0034,WH01,10,101,175
SKU0035,WH01,7,163,130
SKU0036,WH01,3,309,734
SKU0037,WH01,5,61,128
SKU0038,WH01,7,245,468
SKU0039,WH01,7,69,132
SKU0040,WH01,10,103,178
SKU0041,WH01,5,83,174
SKU0042,WH01,10,490,849
SKU0043,WH01,5,19,40
SKU0044,WH01,7,38,73
SKU0045,WH01,10,27,47
SKU0046,WH01,7,47,89
SKU0047,WH01,3,40,95
SKU0048,WH01,7,29,56
SKU0049,WH01,14,101,160
SKU0050,WH01,14,32,51
SKU0051,WH01,5,42,87
SKU0052,WH01,10,455,788
SKU0053,WH01,7,178,341
SKU0054,WH01,5,122,256
SKU0055,WH01,10,63,109
SKU0056,WH01,7,31,60
SKU0057,WH01,7,45,85
SKU0058,WH01,10,149,258
SKU0059,WH01,7,270,517
SKU0060,WH01,10,348,603
SKU0061,WH01,7,218,418
SKU0062,WH01,3,43,101
SKU0063,WH01,7,127,242
SKU0064,WH01,14,147,231
SKU0065,WH01,7,103,198
SKU0066,WH01,5,644,1351
SKU0067,WH01,10,32,55
SKU0068,WH01,14,159,250
SKU0069,WH01,14,582,918
SKU0070,WH01,7,33,64
SKU0071,WH01,7,70,133
SKU0072,WH01,7,77,147
SKU0073,WH01,10,127,219
SKU0074,WH01,10,37,64
SKU0075,WH01,10,264,457
SKU0076,WH01,7,225,431
SKU0077,WH01,5,163,342
SKU0078,WH01,7,57,109
SKU0079,WH01,5,112,234
SKU0080,WH01,3,37,87
SKU0081,WH01,7,92,176
SKU0082,WH01,10,1072,1857
SKU0083,WH01,10,169,292
SKU0084,WH01,10,53,92
SKU0085,WH01,10,182,315
SKU0086,WH01,10,46,80
SKU0087,WH01,10,53,91
SKU0088,WH01,3,33,77
SKU0089,WH01,7,83,159
SKU0090,WH01,5,239,502
SKU0091,WH01,3,139,329
SKU0092,WH01,5,165,346
SKU0093,WH01,10,58,100
SKU0094,WH01,10,95,165
SKU0095,WH01,14,250,394
SKU0096,WH01,14,111,176
SKU0097,WH01,10,121,209
SKU0098,WH01,5,153,322
SKU0099,WH01,10,113,196
SKU0100,WH01,10,190,328
SKU0101,WH01,10,647,1121
SKU0102,WH01,5,89,185
SKU0103,WH01,5,298,625
SKU0104,WH01,14,324,511
SKU0105,WH01,5,28,58
SKU0106,WH01,7,46,88
SKU0107,WH01,7,59,112
SKU0108,WH01,5,48,101
SKU0109,WH01,3,76,181
SKU0110,WH01,14,340,537
SKU0111,WH01,10,478,828
SKU0112,WH01,14,258,408
SKU0113,WH01,5,69,145
SKU0114,WH01,5,16,34
SKU0115,WH01,7,132,252
SKU0116,WH01,7,127,243
SKU0117,WH01,3,97,231
SKU0118,WH01,10,1027,1780
SKU0119,WH01,14,597,943
SKU0120,WH01,7,251,480
SKU0121,WH01,7,52,100
SKU0122,WH01,7,78,150
SKU0123,WH01,5,95,199
SKU0124,WH01,5,52,108
SKU0125,WH01,7,194,371
SKU0126,WH01,7,171,327
SKU0127,WH01,7,47,89
SKU0128,WH01,10,453,785
SKU0129,WH01,5,113,237
SKU0130,WH01,3,18,42
SKU0131,WH01,3,79,187
