supplier_id,supplier_name,country,contract_lead_time_days,minimum_order_qty,preferred_supplier_flag
SUP001,Supplier 001,France,20,96,N
SUP002,Supplier 002,UK,20,480,N
SUP003,Supplier 003,Netherlands,21,240,Y
SUP004,Supplier 004,Ireland,7,240,N
SUP005,Supplier 005,Netherlands,13,24,Y
SUP006,Supplier 006,Poland,21,240,Y
SUP007,Supplier 007,Poland,20,240,Y
SUP008,Supplier 008,UK,14,60,Y
SUP009,,Netherlands,6,120,N
SUP010,Supplier 010,Poland,4,240,Y
SUP011,Supplier 011,Germany,7,480,N
SUP012,Supplier 012,Poland,4,96,Y
SUP013,Supplier 013,Ireland,6,24,Y
SUP014,Supplier 014,UK,4,120,N
SUP015,Supplier 015,Netherlands,17,120,Y
SUP016,Supplier 016,France,14,24,Y
SUP017,Supplier 017,Poland,12,240,Y
SUP018,Supplier 018,Germany,18,48,N
SUP019,Supplier 019,Germany,10,480,N
SUP020,Supplier 020,Netherlands,10,96,Y
SUP021,Supplier 021,UK,6,60,Y
SUP022,Supplier 022,Ireland,11,24,Y
SUP023,Supplier 023,Ireland,6,24,Y
SUP024,Supplier 024,France,14,240,Y
SUP025,Supplier 025,Netherlands,21,60,Y
SUP026,Supplier 026,France,13,240,Y
SUP027,Supplier 027,UK,8,48,Y
SUP028,Supplier 028,France,16,480,Y
SUP029,Supplier 029,Netherlands,18,480,Y
SUP030,Supplier 030,Poland,11,24,Y
SUP031,Supplier 031,Ireland,7,120,N
SUP032,Supplier 032,Ireland,16,480,Y
SUP033,,UK,6,60,N
SUP034,Supplier 034,France,21,24,Y
SUP035,Supplier 035,Germany,9,480,Y
SUP036,Supplier 036,France,9,96,Y
SUP037,Supplier 037,UK,16,24,Y
SUP038,Supplier 038,UK,3,240,Y
SUP039,Supplier 039,Poland,6,120,N
SUP040,Supplier 040,UK,5,24,N
SUP041,Supplier 041,Netherlands,10,48,Y
SUP042,Supplier 042,Ireland,13,24,Y
SUP043,Supplier 043,Poland,6,480,N
SUP044,Supplier 044,France,9,24,Y
SUP045,Supplier 045,Poland,17,240,Y
SUP046,Supplier 046,UK,20,96,N
SUP047,Supplier 047,Netherlands,3,120,Y
SUP048,Supplier 048,Germany,14,240,Y
SUP049,Supplier 049,Poland,3,480,Y
SUP050,Supplier 050,UK,12,24,Y
SUP051,Supplier 051,Poland,19,24,Y
SUP052,Supplier 052,UK,18,24,N
SUP053,,UK,7,120,Y
SUP054,Supplier 054,Netherlands,7,96,N
SUP055,Supplier 055,France,17,24,N
SUP056,Supplier 056,UK,18,48,N
SUP057,Supplier 057,UK,8,96,Y
SUP058,Supplier 058,Poland,3,240,Y
SUP059,Supplier 059,Poland,11,60,Y
SUP060,Supplier 060,UK,14,480,Y
